Buyer_ID,Unique_Buys
##,[]
##,[]
--,[]
-e,[]
04,[]
07,[]
0W,[]
0e,[]
0f,[]
0y,[]
0y,[]
1 ,[]
1 ,[]
1 ,[]
1 ,[]
1 ,[]
10,[]
11,[]
12,[]
15,[]
16,[]
18,[]
19,[]
1Y,[]
1c,[]
1e,[]
1i,[]
1l,[]
1n,[]
1p,[]
1p,[]
1r,[]
1s,[]
1s,[]
1s,[]
1t,[]
1y,[]
2 ,[]
2 ,[]
20,[]
21,[]
22,[]
22,[]
25,[]
25,[]
26,[]
28,[]
29,[]
2b,[]
2c,[]
2e,[]
2g,[]
2i,[]
2r,[]
2s,[]
2s,[]
2t,[]
30,[]
33,[]
33,[]
34,[]
37,[]
3H,[]
3a,[]
3n,[]
3o,[]
3q,[]
3s,[]
3t,[]
3y,[]
4 ,[]
4 ,[]
4 ,[]
40,[]
42,[]
43,[]
44,[]
47,[]
47,[]
47,[]
49,[]
4D,[]
4a,[]
4d,[]
4e,[]
4m,[]
4n,[]
4o,[]
4t,[]
4v,[]
4y,[]
5 ,[]
5 ,[]
51,[]
55,[]
58,[]
5a,[]
5h,[]
5n,[]
5r,[]
64,[]
64,[]
64,[]
65,[]
66,[]
6G,[]
6d,[]
6q,[]
6y,[]
76,[]
76,[]
77,[]
78,[]
7R,[]
7k,[]
7m,[]
7n,[]
7x,[]
7y,[]
7z,[]
7z,[]
8-,[]
82,[]
87,[]
88,[]
8d,[]
8r,[]
8s,[]
8t,[]
8x,[]
8y,[]
94,[]
96,[]
9L,[]
9b,[]
9n,[]
9t,[]
9y,[]
A ,[]
A ,[]
A ,[]
A ,[]
A ,[]
A ,[]
A ,[]
A ,[]
A ,[]
A0,[]
A0,[]
A1,[]
A1,[]
A1,[]
A1,[]
A2,[]
A2,[]
A3,[]
A3,[]
A4,[]
A4,[]
A5,[]
A6,[]
A7,[]
A7,[]
A7,[]
A8,[]
A8,[]
A8,[]
A9,[]
A9,[]
AD,[]
AE,[]
AF,[]
AI,[]
AK,[]
AL,[]
AN,[]
AO,[]
AX,[]
Aa,[]
Aa,[]
Ad,[]
Ae,[]
Ae,[]
Ae,[]
Ae,[]
Ae,[]
Af,[]
Ah,[]
Ak,[]
Ak,[]
Al,[]
Am,[]
An,[]
An,[]
Ao,[]
Ao,[]
Ap,[]
Ap,[]
Ar,[]
Ar,[]
As,[]
As,[]
As,[]
At,[]
At,[]
Au,[]
Av,[]
Ax,[]
Ax,[]
Ay,[]
Ay,[]
B ,[]
B ,[]
B ,[]
B ,[]
B ,[]
B0,[]
B0,[]
B0,[]
B0,[]
B1,[]
B1,[]
B1,[]
B2,[]
B2,[]
B2,[]
B3,[]
B3,[]
B4,[]
B4,[]
B5,[]
B5,[]
B6,[]
B6,[]
B6,[]
B7,[]
B7,[]
B7,[]
B8,[]
B8,[]
B8,[]
B9,[]
B9,[]
B9,[]
BC,[]
BK,[]
BK,[]
BN,[]
BT,[]
BV,[]
BV,[]
Ba,[]
Ba,[]
Bb,[]
Bd,[]
Bd,[]
Be,[]
Be,[]
Bg,[]
Bh,[]
Bi,[]
Bi,[]
Bk,[]
Bk,[]
Bm,[]
Bn,[]
Bn,[]
Bo,[]
Bo,[]
Bo,[]
Bp,[]
Br,[]
Br,[]
Br,[]
Br,[]
Br,[]
Bs,[]
Bs,[]
Bs,[]
Bt,[]
Bt,[]
Bt,[]
Bt,[]
Bt,[]
Bu,[]
Bv,[]
Bw,[]
By,[]
By,[]
Bz,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C ,[]
C0,[]
C0,[]
C1,[]
C1,[]
C2,[]
C2,[]
C3,[]
C4,[]
C5,[]
C5,[]
C6,[]
C6,[]
C7,[]
C8,[]
C8,[]
C8,[]
C9,[]
C9,[]
CA,[]
CC,[]
CC,[]
CD,[]
CE,[]
CE,[]
CG,[]
CI,[]
CN,[]
CR,[]
CW,[]
CZ,[]
Ca,[]
Ca,[]
Cb,[]
Cd,[]
Cd,[]
Ce,[]
Ce,[]
Ce,[]
Cg,[]
Cg,[]
Cg,[]
Ci,[]
Ci,[]
Cl,[]
Cm,[]
Cn,[]
Co,[]
Co,[]
Co,[]
Cr,[]
Cr,[]
Cs,[]
Cs,[]
Ct,[]
Ct,[]
Cw,[]
Cx,[]
Cy,[]
Cy,[]
D ,[]
D ,[]
D ,[]
D ,[]
D ,[]
D ,[]
D ,[]
D ,[]
D ,[]
D0,[]
D0,[]
D0,[]
D1,[]
D1,[]
D2,[]
D2,[]
D2,[]
D3,[]
D5,[]
D6,[]
D6,[]
D6,[]
D7,[]
D7,[]
D8,[]
D8,[]
D8,[]
D9,[]
D9,[]
DE,[]
DE,[]
DE,[]
DH,[]
DL,[]
DN,[]
DO,[]
DS,[]
DT,[]
DT,[]
Da,[]
Da,[]
Dc,[]
Dd,[]
Dd,[]
De,[]
De,[]
De,[]
Dg,[]
Dg,[]
Dh,[]
Dj,[]
Dk,[]
Dl,[]
Dl,[]
Dn,[]
Dn,[]
Dn,[]
Dn,[]
Dn,[]
Do,[]
Dp,[]
Dr,[]
Dr,[]
Ds,[]
Ds,[]
Ds,[]
Ds,[]
Dt,[]
Dt,[]
Du,[]
Dw,[]
Dx,[]
Dy,[]
Dy,[]
Dz,[]
E ,[]
E ,[]
E ,[]
E ,[]
E ,[]
E0,[]
E1,[]
E1,[]
E2,[]
E2,[]
E3,[]
E3,[]
E4,[]
E4,[]
E5,[]
E6,[]
E7,[]
E8,[]
E8,[]
E9,[]
EK,[]
EK,[]
EN,[]
EO,[]
Ea,[]
Ea,[]
Ee,[]
Ee,[]
Eg,[]
Eh,[]
Eh,[]
Ei,[]
Ej,[]
Ek,[]
Ek,[]
Em,[]
En,[]
Eo,[]
Ep,[]
Ep,[]
Er,[]
Et,[]
Ex,[]
Ey,[]
Ey,[]
Ez,[]
F ,[]
F ,[]
F ,[]
F ,[]
F ,[]
F ,[]
F ,[]
F ,[]
F0,[]
F0,[]
F1,[]
F1,[]
F2,[]
F2,[]
F3,[]
F4,[]
F4,[]
F6,[]
F6,[]
F7,[]
F7,[]
F8,[]
F8,[]
F8,[]
F9,[]
F9,[]
FJ,[]
FL,[]
FP,[]
FR,[]
FU,[]
FX,[]
Fa,[]
Fa,[]
Fb,[]
Fd,[]
Fe,[]
Fe,[]
Fe,[]
Fh,[]
Fi,[]
Fi,[]
Fk,[]
Fl,[]
Fm,[]
Fn,[]
Fo,[]
Fr,[]
Fs,[]
Fs,[]
Ft,[]
Ft,[]
Fx,[]
Fy,[]
Fy,[]
Fz,[]
G ,[]
G ,[]
G ,[]
G ,[]
G0,[]
G0,[]
G1,[]
G1,[]
G2,[]
G2,[]
G3,[]
G3,[]
G3,[]
G4,[]
G6,[]
G7,[]
G7,[]
G7,[]
G8,[]
G8,[]
G9,[]
G9,[]
GH,[]
GN,[]
GX,[]
GX,[]
Gd,[]
Gd,[]
Ge,[]
Ge,[]
Gf,[]
Gg,[]
Gh,[]
Gh,[]
Gh,[]
Gi,[]
Gi,[]
Gj,[]
Gk,[]
Gl,[]
Gl,[]
Gm,[]
Gn,[]
Gn,[]
Go,[]
Go,[]
Gr,[]
Gr,[]
Gs,[]
Gt,[]
Gu,[]
Gu,[]
Gy,[]
Gy,[]
H ,[]
H ,[]
H ,[]
H0,[]
H0,[]
H0,[]
H1,[]
H1,[]
H2,[]
H2,[]
H3,[]
H5,[]
H6,[]
H7,[]
H7,[]
H8,[]
H8,[]
H8,[]
H9,[]
H9,[]
H9,[]
HC,[]
HK,[]
HR,[]
HY,[]
Ha,[]
Hb,[]
Hc,[]
Hd,[]
He,[]
He,[]
Hf,[]
Hg,[]
Hh,[]
Hh,[]
Hk,[]
Hl,[]
Hm,[]
Hn,[]
Hn,[]
Ho,[]
Ho,[]
Hp,[]
Hr,[]
Hs,[]
Hs,[]
Hs,[]
Ht,[]
Hy,[]
Hy,[]
Hz,[]
I ,[]
I ,[]
I ,[]
I0,[]
I2,[]
I2,[]
I3,[]
I6,[]
I7,[]
I7,[]
I9,[]
II,[]
IL,[]
IO,[]
IT,[]
Ia,[]
Id,[]
Id,[]
Ie,[]
Ie,[]
Ig,[]
Ig,[]
Ih,[]
Ii,[]
Ik,[]
In,[]
In,[]
Ir,[]
Ir,[]
Is,[]
It,[]
It,[]
Iw,[]
J ,[]
J ,[]
J ,[]
J ,[]
J ,[]
J0,[]
J0,[]
J0,[]
J1,[]
J1,[]
J2,[]
J2,[]
J3,[]
J3,[]
J4,[]
J4,[]
J5,[]
J6,[]
J7,[]
J7,[]
J8,[]
J9,[]
J9,[]
JB,[]
JG,[]
JJ,[]
JP,[]
JT,[]
JT,[]
JZ,[]
Ja,[]
Jc,[]
Jd,[]
Jd,[]
Je,[]
Je,[]
Jh,[]
Ji,[]
Jk,[]
Jl,[]
Jm,[]
Jn,[]
Jn,[]
Jn,[]
Jo,[]
Jo,[]
Jo,[]
Jp,[]
Jr,[]
Js,[]
Js,[]
Jt,[]
Jw,[]
Jx,[]
Jx,[]
Jy,[]
Jy,[]
Jy,[]
Jy,[]
K ,[]
K0,[]
K0,[]
K1,[]
K1,[]
K2,[]
K3,[]
K4,[]
K5,[]
K6,[]
K6,[]
K7,[]
K7,[]
K7,[]
K9,[]
K9,[]
KS,[]
KS,[]
Ka,[]
Ke,[]
Ke,[]
Ke,[]
Kg,[]
Kh,[]
Ki,[]
Ki,[]
Ki,[]
Kl,[]
Km,[]
Kn,[]
Ko,[]
Kp,[]
Kq,[]
Kr,[]
Kr,[]
Ks,[]
Ks,[]
Kt,[]
Kt,[]
Ku,[]
Kx,[]
Kz,[]
L ,[]
L ,[]
L ,[]
L ,[]
L ,[]
L ,[]
L ,[]
L ,[]
L0,[]
L0,[]
L1,[]
L1,[]
L2,[]
L2,[]
L4,[]
L4,[]
L6,[]
L7,[]
L7,[]
L8,[]
L8,[]
L9,[]
L9,[]
LT,[]
La,[]
Lb,[]
Lc,[]
Ld,[]
Ld,[]
Le,[]
Le,[]
Lg,[]
Lh,[]
Lh,[]
Li,[]
Li,[]
Li,[]
Lk,[]
Ln,[]
Ln,[]
Lo,[]
Lo,[]
Lr,[]
Lr,[]
Lr,[]
Ls,[]
Ls,[]
Ls,[]
Lt,[]
Lt,[]
Lw,[]
Ly,[]
Lz,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M ,[]
M0,[]
M0,[]
M0,[]
M0,[]
M1,[]
M1,[]
M1,[]
M1,[]
M2,[]
M2,[]
M3,[]
M3,[]
M4,[]
M4,[]
M5,[]
M5,[]
M6,[]
M6,[]
M7,[]
M7,[]
M8,[]
M9,[]
M9,[]
MA,[]
MG,[]
ML,[]
MN,[]
MR,[]
MU,[]
MV,[]
Ma,[]
Ma,[]
Ma,[]
Ma,[]
Mb,[]
Md,[]
Md,[]
Me,[]
Me,[]
Me,[]
Me,[]
Mg,[]
Mh,[]
Mh,[]
Mi,[]
Mk,[]
Ml,[]
Mn,[]
Mn,[]
Mo,[]
Mo,[]
Mp,[]
Mr,[]
Mr,[]
Mr,[]
Mr,[]
Ms,[]
Ms,[]
Mt,[]
Mt,[]
Mt,[]
Mu,[]
Mw,[]
Mw,[]
Mx,[]
Mx,[]
My,[]
My,[]
My,[]
Mz,[]
N ,[]
N ,[]
N ,[]
N0,[]
N0,[]
N1,[]
N2,[]
N3,[]
N6,[]
N6,[]
N9,[]
NE,[]
NG,[]
NM,[]
NN,[]
NR,[]
NT,[]
NT,[]
NY,[]
Na,[]
Ne,[]
Ne,[]
Ni,[]
Nk,[]
Nk,[]
Nl,[]
Nm,[]
Nm,[]
Nm,[]
Nn,[]
Nn,[]
Nr,[]
Nr,[]
Ns,[]
Ns,[]
Nt,[]
Nz,[]
Nz,[]
O ,[]
O ,[]
O ,[]
O ,[]
O ,[]
O ,[]
O0,[]
O0,[]
O1,[]
O2,[]
O3,[]
O4,[]
O7,[]
OD,[]
OE,[]
OL,[]
OR,[]
Oh,[]
Ok,[]
On,[]
Op,[]
Or,[]
Or,[]
Os,[]
Os,[]
Ot,[]
Ot,[]
Ou,[]
Ow,[]
Ox,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P ,[]
P0,[]
P0,[]
P1,[]
P1,[]
P2,[]
P2,[]
P3,[]
P3,[]
P4,[]
P6,[]
P6,[]
P7,[]
P7,[]
P9,[]
P9,[]
PA,[]
PB,[]
PD,[]
PJ,[]
PK,[]
PO,[]
PQ,[]
PS,[]
Pa,[]
Pa,[]
Pa,[]
Pb,[]
Pc,[]
Pd,[]
Pd,[]
Pe,[]
Pe,[]
Pe,[]
Pg,[]
Pg,[]
Ph,[]
Ph,[]
Pi,[]
Pk,[]
Pk,[]
Pn,[]
Pn,[]
Po,[]
Po,[]
Po,[]
Pr,[]
Pr,[]
Pr,[]
Pr,[]
Ps,[]
Ps,[]
Ps,[]
Pt,[]
Px,[]
Py,[]
Py,[]
Q ,[]
Q1,[]
Q5,[]
Q6,[]
Q6,[]
Q8,[]
QC,[]
QF,[]
QT,[]
Qa,[]
Qe,[]
Qe,[]
Qi,[]
Ql,[]
Qy,[]
R ,[]
R ,[]
R ,[]
R ,[]
R ,[]
R0,[]
R0,[]
R1,[]
R2,[]
R2,[]
R2,[]
R3,[]
R3,[]
R3,[]
R4,[]
R5,[]
R5,[]
R6,[]
R6,[]
R7,[]
R7,[]
R8,[]
R8,[]
R9,[]
R9,[]
RN,[]
RR,[]
RS,[]
RT,[]
RX,[]
RX,[]
Ra,[]
Ra,[]
Rd,[]
Re,[]
Re,[]
Rf,[]
Rg,[]
Ri,[]
Rl,[]
Rl,[]
Rm,[]
Rn,[]
Rn,[]
Ro,[]
Rp,[]
Rr,[]
Rr,[]
Rs,[]
Rs,[]
Rt,[]
Rt,[]
Ry,[]
Ry,[]
Ry,[]
Rz,[]
S ,[]
S ,[]
S ,[]
S ,[]
S ,[]
S ,[]
S ,[]
S!,[]
S0,[]
S0,[]
S0,[]
S0,[]
S0,[]
S1,[]
S1,[]
S2,[]
S2,[]
S2,[]
S3,[]
S3,[]
S3,[]
S3,[]
S4,[]
S4,[]
S4,[]
S5,[]
S5,[]
S6,[]
S6,[]
S6,[]
S7,[]
S7,[]
S7,[]
S8,[]
S8,[]
S8,[]
S8,[]
S9,[]
S9,[]
S9,[]
S9,[]
S9,[]
SD,[]
SD,[]
SE,[]
SI,[]
SJ,[]
SK,[]
SN,[]
SN,[]
SQ,[]
SR,[]
SS,[]
ST,[]
SV,[]
SW,[]
SX,[]
S_,[]
Sa,[]
Sa,[]
Sa,[]
Sa,[]
Sa,[]
Sb,[]
Sc,[]
Sd,[]
Sd,[]
Sd,[]
Se,[]
Se,[]
Se,[]
Se,[]
Sf,[]
Sg,[]
Sh,[]
Sh,[]
Sh,[]
Si,[]
Si,[]
Si,[]
Sk,[]
Sk,[]
Sk,[]
Sl,[]
Sl,[]
Sm,[]
Sm,[]
Sm,[]
Sn,[]
Sn,[]
Sn,[]
So,[]
So,[]
Sp,[]
Sr,[]
Sr,[]
Sr,[]
Sr,[]
Sr,[]
Ss,[]
Ss,[]
Ss,[]
St,[]
St,[]
St,[]
St,[]
Su,[]
Sw,[]
Sx,[]
Sy,[]
Sy,[]
Sy,[]
Sz,[]
Sz,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T ,[]
T0,[]
T0,[]
T0,[]
T1,[]
T1,[]
T1,[]
T1,[]
T2,[]
T2,[]
T3,[]
T3,[]
T4,[]
T4,[]
T5,[]
T5,[]
T6,[]
T6,[]
T6,[]
T7,[]
T7,[]
T7,[]
T8,[]
T9,[]
T9,[]
T9,[]
TT,[]
T_,[]
Ta,[]
Ta,[]
Td,[]
Td,[]
Td,[]
Te,[]
Te,[]
Tg,[]
Ti,[]
Tk,[]
Tk,[]
Tl,[]
Tl,[]
Tm,[]
Tn,[]
Tn,[]
Tn,[]
Tn,[]
To,[]
To,[]
To,[]
Tp,[]
Tp,[]
Tp,[]
Tr,[]
Tr,[]
Tr,[]
Tr,[]
Ts,[]
Ts,[]
Tt,[]
Tt,[]
Tu,[]
Tx,[]
Tx,[]
Ty,[]
Ty,[]
Ty,[]
Tz,[]
U ,[]
U0,[]
U0,[]
U3,[]
U7,[]
U8,[]
U9,[]
U9,[]
UI,[]
Ub,[]
Ud,[]
Ue,[]
Ui,[]
Ul,[]
Un,[]
Uo,[]
Uw,[]
Uy,[]
V ,[]
V ,[]
V ,[]
V0,[]
V2,[]
V3,[]
V8,[]
VB,[]
VN,[]
VR,[]
Va,[]
Ve,[]
Ve,[]
Vk,[]
Vn,[]
Vn,[]
Vo,[]
Vr,[]
Vs,[]
Vx,[]
Vy,[]
Vy,[]
W ,[]
W ,[]
W ,[]
W ,[]
W ,[]
W0,[]
W0,[]
W1,[]
W2,[]
W3,[]
W4,[]
W5,[]
W6,[]
W8,[]
W9,[]
W9,[]
WH,[]
WR,[]
Wd,[]
We,[]
We,[]
Wh,[]
Wk,[]
Wl,[]
Wl,[]
Wn,[]
Wo,[]
Wo,[]
Wp,[]
Wr,[]
Wr,[]
Ws,[]
Wy,[]
X0,[]
X3,[]
X5,[]
X7,[]
X8,[]
X9,[]
X9,[]
X9,[]
XB,[]
XD,[]
XX,[]
Xw,[]
Y0,[]
Y5,[]
Y6,[]
Y8,[]
Y8,[]
Y8,[]
YM,[]
Ya,[]
Ye,[]
Ye,[]
Yl,[]
Ys,[]
Yt,[]
Yy,[]
Z0,[]
Z1,[]
Z2,[]
Z3,[]
Z4,[]
Z5,[]
Z8,[]
Z9,[]
ZX,[]
Za,[]
Zc,[]
Zd,[]
Zd,[]
Ze,[]
Zh,[]
Zh,[]
Zi,[]
Zl,[]
Zn,[]
Zn,[]
Zn,[]
Zr,[]
Zs,[]
Zt,[]
Zy,[]
__,[]
_n,[]
_r,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a ,[]
a0,[]
a0,[]
a0,[]
a0,[]
a0,[]
a0,[]
a0,[]
a1,[]
a1,[]
a2,[]
a2,[]
a2,[]
a2,[]
a2,[]
a3,[]
a3,[]
a3,[]
a3,[]
a3,[]
a3,[]
a3,[]
a4,[]
a4,[]
a4,[]
a5,[]
a5,[]
a5,[]
a5,[]
a5,[]
a6,[]
a6,[]
a6,[]
a6,[]
a7,[]
a7,[]
a7,[]
a7,[]
a7,[]
a8,[]
a8,[]
a8,[]
a9,[]
a9,[]
a9,[]
aI,[]
aM,[]
a_,[]
aa,[]
aa,[]
aa,[]
aa,[]
aa,[]
ab,[]
ac,[]
ad,[]
ad,[]
ad,[]
ad,[]
ae,[]
ae,[]
ae,[]
ae,[]
af,[]
af,[]
af,[]
af,[]
ag,[]
ag,[]
ag,[]
ag,[]
ag,[]
ag,[]
ag,[]
ah,[]
ah,[]
ah,[]
ai,[]
ai,[]
ai,[]
ai,[]
ak,[]
ak,[]
ak,[]
ak,[]
al,[]
al,[]
al,[]
am,[]
an,[]
an,[]
an,[]
an,[]
an,[]
an,[]
ao,[]
ao,[]
ao,[]
ao,[]
ao,[]
ao,[]
ap,[]
ap,[]
ap,[]
aq,[]
ar,[]
ar,[]
ar,[]
ar,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
as,[]
at,[]
at,[]
at,[]
at,[]
au,[]
aw,[]
ax,[]
ax,[]
ax,[]
ay,[]
ay,[]
ay,[]
ay,[]
ay,[]
az,[]
az,[]
az,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b ,[]
b0,[]
b0,[]
b0,[]
b0,[]
b0,[]
b1,[]
b1,[]
b1,[]
b1,[]
b1,[]
b1,[]
b1,[]
b2,[]
b2,[]
b2,[]
b2,[]
b2,[]
b2,[]
b2,[]
b3,[]
b3,[]
b3,[]
b3,[]
b3,[]
b4,[]
b4,[]
b4,[]
b4,[]
b4,[]
b5,[]
b5,[]
b5,[]
b5,[]
b5,[]
b5,[]
b6,[]
b6,[]
b6,[]
b6,[]
b7,[]
b7,[]
b7,[]
b7,[]
b7,[]
b7,[]
b8,[]
b8,[]
b8,[]
b8,[]
b8,[]
b8,[]
b8,[]
b8,[]
b8,[]
b9,[]
b9,[]
b9,[]
b9,[]
b9,[]
b9,[]
bA,[]
b_,[]
ba,[]
ba,[]
ba,[]
bb,[]
bb,[]
bc,[]
bd,[]
bd,[]
bd,[]
bd,[]
bd,[]
bd,[]
bd,[]
be,[]
be,[]
be,[]
be,[]
be,[]
be,[]
be,[]
be,[]
be,[]
be,[]
bf,[]
bf,[]
bf,[]
bf,[]
bg,[]
bg,[]
bg,[]
bg,[]
bh,[]
bh,[]
bi,[]
bi,[]
bk,[]
bk,[]
bk,[]
bk,[]
bl,[]
bl,[]
bl,[]
bl,[]
bm,[]
bm,[]
bm,[]
bn,[]
bn,[]
bn,[]
bn,[]
bn,[]
bo,[]
bo,[]
bo,[]
bo,[]
bo,[]
bo,[]
bo,[]
bo,[]
bp,[]
bp,[]
br,[]
br,[]
br,[]
br,[]
br,[]
br,[]
br,[]
br,[]
br,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bs,[]
bt,[]
bt,[]
bt,[]
bt,[]
bt,[]
bu,[]
bu,[]
bv,[]
bw,[]
bw,[]
bx,[]
bx,[]
by,[]
by,[]
by,[]
by,[]
by,[]
by,[]
by,[]
by,[]
by,[]
by,[]
bz,[]
bz,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c ,[]
c0,[]
c0,[]
c0,[]
c0,[]
c1,[]
c1,[]
c1,[]
c1,[]
c1,[]
c1,[]
c2,[]
c2,[]
c2,[]
c2,[]
c3,[]
c3,[]
c3,[]
c3,[]
c3,[]
c4,[]
c4,[]
c4,[]
c5,[]
c5,[]
c5,[]
c5,[]
c6,[]
c6,[]
c6,[]
c6,[]
c7,[]
c7,[]
c7,[]
c7,[]
c8,[]
c8,[]
c8,[]
c8,[]
c9,[]
c9,[]
c9,[]
c9,[]
c9,[]
c9,[]
cG,[]
ca,[]
ca,[]
ca,[]
ca,[]
ca,[]
cb,[]
cc,[]
cc,[]
cd,[]
cd,[]
cd,[]
cd,[]
cd,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
ce,[]
cf,[]
cf,[]
cg,[]
cg,[]
cg,[]
ch,[]
ch,[]
ch,[]
ci,[]
ci,[]
ci,[]
ci,[]
ci,[]
ci,[]
ci,[]
ck,[]
ck,[]
ck,[]
ck,[]
cl,[]
cl,[]
cl,[]
cm,[]
cm,[]
cn,[]
cn,[]
cn,[]
cn,[]
cn,[]
cn,[]
cn,[]
co,[]
co,[]
co,[]
co,[]
co,[]
co,[]
co,[]
cp,[]
cp,[]
cp,[]
cp,[]
cq,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
cu,[]
cu,[]
cv,[]
cw,[]
cw,[]
cx,[]
cx,[]
cx,[]
cy,[]
cy,[]
cy,[]
cy,[]
cy,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d-,[]
d0,[]
d0,[]
d0,[]
d0,[]
d0,[]
d0,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d4,[]
d4,[]
d4,[]
d4,[]
d5,[]
d5,[]
d5,[]
d5,[]
d6,[]
d6,[]
d6,[]
d6,[]
d6,[]
d6,[]
d7,[]
d7,[]
d7,[]
d7,[]
d8,[]
d8,[]
d8,[]
d8,[]
d8,[]
d8,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
dG,[]
dZ,[]
da,[]
da,[]
da,[]
da,[]
da,[]
da,[]
db,[]
db,[]
dd,[]
dd,[]
dd,[]
de,[]
de,[]
de,[]
de,[]
de,[]
de,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dh,[]
dh,[]
dh,[]
di,[]
di,[]
di,[]
di,[]
dk,[]
dl,[]
dl,[]
dl,[]
dm,[]
dm,[]
dm,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
dp,[]
dp,[]
dp,[]
dp,[]
dr,[]
dr,[]
dr,[]
dr,[]
dr,[]
dr,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
dt,[]
dt,[]
dt,[]
dt,[]
dt,[]
du,[]
du,[]
dv,[]
dw,[]
dw,[]
dx,[]
dx,[]
dx,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dz,[]
dz,[]
dz,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e0,[]
e0,[]
e0,[]
e0,[]
e0,[]
e0,[]
e1,[]
e1,[]
e1,[]
e1,[]
e2,[]
e2,[]
e3,[]
e3,[]
e3,[]
e3,[]
e3,[]
e3,[]
e5,[]
e5,[]
e6,[]
e6,[]
e7,[]
e7,[]
e8,[]
e8,[]
e8,[]
e9,[]
e9,[]
eP,[]
ea,[]
ea,[]
eb,[]
ec,[]
ec,[]
ed,[]
ed,[]
ed,[]
ee,[]
ee,[]
